"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SauceDemo E2E Testing","0","Complete Shopping Flow","1","0","Inventory page validation","0"
"0","SauceDemo E2E Testing","0","Complete Shopping Flow","1","0","Login page validation","0"
"0","SauceDemo E2E Testing","0","Complete Shopping Flow","1","0","User can complete shopping journey with numeric postal code","0"
"0","SauceDemo E2E Testing","0","Complete Shopping Flow","1","0","User can complete full shopping journey","0"
